CAS_NUMBER	ID	COMPOUND_CODE	COMPOUND_NAME	FMLA	MOLECULAR_WEIGHT	KOWLOGP	STRUCTURECATEGORY	SMILES	AUTHORS	JOURNAL	PUBLICATION_DATE	VOLUME_NUMBER	START_PAGE	SOURCE_URL	ASSAY_CLASS_NAME	ASSAY_NAME	SPECIES_STRAIN	ENDPOINT_NAME	ENDPOINT_VALUE	ENDPOINT_UNIT	PROTEIN_SUBTYPE	PROTEIN_DOMAIN	ROUTE_OF_COMPOUND
446-72-0	557	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Roelens F, Heldring N, Dhooge W, Bengtsson M, Comhaire F, Gustafsson JA, Treuter E, De Keukeleire D.	J. Med. Chem.	2006	49	7357		Binding	Displacement of [3H]E2 from human recombinant ERbeta LBD by SPA	Human	logRBA	0.748		beta	LBD	
446-72-0	558	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Ullrich JW, Unwalla RJ, Singhaus RR Jr, Harris HA, Mewshaw RE.	Bioorg. Med. Chem. Lett.	2007	17	118		Binding	Inhibition of human LBD of ERbeta	Human	logRBA	-0.091		beta	LBD	
446-72-0	559	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Kuiper GG, Lemmen JG, Carlsson B, Corton JC, Safe SH, van der Saag PT, van der Burg B, Gustafsson JA.	Endocrinology 	1998	139	4252		Reporter Gene	Relative transactivation activity (RTA) of ERa	Human	logRA	2.297				
446-72-0	560	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Coldham NG, Dave M, Sivapathasundaram S, McDonnell DP, Connor C, Sauer MJ.	Environ. Health Perspect. 	1997	105	734		Reporter Gene	The recombinant yeast cell bioassay (RCBA) relative to E2 of Antistrogens	Human	logRA	1.785				
446-72-0	561	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Coldham NG, Dave M, Sivapathasundaram S, McDonnell DP, Connor C, Sauer MJ.	Environ. Health Perspect. 	1997	105	734		Reporter Gene	The recombinant yeast cell bioassay (RCBA) relative to E2 of Estrogens	Human	logRA	-1.31				
446-72-0	562	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Kuiper GG, Lemmen JG, Carlsson B, Corton JC, Safe SH, van der Saag PT, van der Burg B, Gustafsson JA.	Endocrinology 	1998	139	4252		Reporter Gene	Relative transactivation activity (RTA) of ERb	Rat	logRA	2.26				
446-72-0	563	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Yang W, Wang Y, Ma Z, Golla R, Stouch T, Seethala R, Johnson S, Zhou R, GÃ¼ngr T, Feyen JH, Dickson JK Jr.	Bioorg. Med. Chem. Lett.	2004	14	2327		Reporter Gene	Ability to activate estrogen receptor 1-mediated transcription.		logRA	-1.296		alpha		
446-72-0	564	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Meyers MJ, Sun J, Carlson KE, Marriner GA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2001	44	4230		Reporter Gene	Transcriptional potency (EC50) at Human estrogen receptor alpha	Human	logRA	-1.046		alpha		
446-72-0	565	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Schopfer U, Schoeffter P, Bischoff SF, Nozulak J, Feuerbach D, Floersheim P.	J. Med. Chem.	2002	45	1399		Reporter Gene	Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.	Human	logRA	-1.38		alpha		
446-72-0	566	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Meyers MJ, Sun J, Carlson KE, Marriner GA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2001	44	4230		Reporter Gene	Relative estrogenic potency at Human estrogen receptor alpha (EC50 (Estradiol) / EC50 (ligand))	Human	logRA	-1.602		alpha		
446-72-0	567	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O		J. Health Sci.	2000	46	282		Reporter Gene	relative activity of yeast two-hybrid assay on ERa	Human	logRA10	-0.523		alpha	LBD	
446-72-0	568	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Yang W, Wang Y, Ma Z, Golla R, Stouch T, Seethala R, Johnson S, Zhou R, GÃ¼ngr T, Feyen JH, Dickson JK Jr.	Bioorg. Med. Chem. Lett.	2004	14	2327		Reporter Gene	Ability to activate estrogen receptor 2-mediated transcription.		logRA	-0.475		beta		
446-72-0	569	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Collini MD, Kaufman DH, Manas ES, Harris HA, Henderson RA, Xu ZB, Unwalla RJ, Miller CP.	Bioorg. Med. Chem. Lett.	2004	14	4925		Reporter Gene	Percent effect on estrogen receptor beta mediated-IGFBP4 transcriptional regulation in SAOS-2 cells (human osteosarcoma cells) at 1 uM	Human	logRA	2.021		beta		
446-72-0	570	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Schopfer U, Schoeffter P, Bischoff SF, Nozulak J, Feuerbach D, Floersheim P.	J. Med. Chem.	2002	45	1399		Reporter Gene	Agonist activity in transcriptional activation assay in SH-SY5Y neuroblastoma cells expressing Estrogen receptor beta	Human	logRA	0.77		beta		
446-72-0	571	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Schopfer U, Schoeffter P, Bischoff SF, Nozulak J, Feuerbach D, Floersheim P.	J. Med. Chem.	2002	45	1399		Reporter Gene	Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor beta.	Human	logRA	0.232		beta		
446-72-0	572	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Meyers MJ, Sun J, Carlson KE, Marriner GA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2001	44	4230		Reporter Gene	Relative estrogenic potency at Human estrogen receptor Beta (EC50 (Estradiol) / EC50 (ligand))	Human	logRA	-0.097		beta		
446-72-0	573	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Meyers MJ, Sun J, Carlson KE, Marriner GA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2001	44	4230		Reporter Gene	Transcriptional potency (EC50) at Human estrogen receptor Beta	Human	logRA	-0.187		beta		
446-72-0	574	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Akama T, Shida Y, Sugaya T, Ishida H, Gomi K, Kasai M.	J. Med. Chem.	1996	39	3461		Cell Proliferation	Inhibition of 10e-4 uM estradiol induced estrogen receptor positive MCF-7 human breast cancer cell proliferation	Human	IC50	77000	nM			
446-72-0	575	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Ndejouong Ble S, Sattler I, Dahse HM, Kothe E, Hertweck C.	Bioorg. Med. Chem. Lett.	2009	19	6473		Cell Proliferation	Antiproliferative activity against estrogen receptor expressing human MDA-MB-436 cells	Human	GI50	17000	nM			
446-72-0	576	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Akama T, Shida Y, Sugaya T, Ishida H, Gomi K, Kasai M.	J. Med. Chem.	1996	39	3461		Cell Proliferation	Anti-proliferative activity against estrogen-responsive human breast cancer cell line MCF-7 in the presence of ER at a 10e-4 uM concentration of estradiol	Human	IC50	11000	nM			
446-72-0	577	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Ndejouong Ble S, Sattler I, Dahse HM, Kothe E, Hertweck C.	Bioorg. Med. Chem. Lett.	2009	19	6473		Cell Proliferation	Antiproliferative activity against estrogen receptor expressing human MCF7 cells	Human	GI50	10000	nM			
446-72-0	578	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against human MCF7 cells expressing estrogen receptor incubated with 0.003 nM of estradiol and 0.01 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of 5% fetal bovine serum	Human	GI50	6166	nM			
446-72-0	579	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against human MCF7 cells expressing estrogen receptor incubated with 100 nM of estradiol and 0.07 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of fetal bovine serum and NuSerum	Human	GI50	5248.1	nM			
446-72-0	580	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against human MCF7 cells expressing estrogen receptor incubated with 0.06 nM of estradiol and 0.07 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of fetal bovine serum and NuSerum	Human	GI50	4570.9	nM			
446-72-0	581	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against estrogen receptor-deficient human MCF12A cells incubated with 0.003 nM of estradiol and 0.01 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of 5% fetal bovine serum	Human	GI50	3235.9	nM			
446-72-0	582	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against estrogen receptor-deficient human NCI-ADR-RES cells incubated with 0.003 nM of estradiol and 0.01 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of 5% fetal bovine serum	Human	GI50	3235.9	nM			
446-72-0	583	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against estrogen receptor-deficient human MCF12A cells incubated with 100 nM of estradiol and 0.07 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of fetal bovine serum and NuSerum	Human	GI50	3020	nM			
446-72-0	584	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against estrogen receptor-deficient human NCI-ADR-RES cells incubated with 100 nM of estradiol and 0.07 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of fetal bovine serum and NuSerum	Human	GI50	2691.5	nM			
446-72-0	585	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against estrogen receptor-deficient human MCF12A cells incubated with 0.06 nM of estradiol and 0.07 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of fetal bovine serum and NuSerum	Human	GI50	2187.8	nM			
446-72-0	586	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Khupse RS, Sarver JG, Trendel JA, Bearss NR, Reese MD, Wiese TE, Boue SM, Burow ME, Cleveland TE, Bhatnagar D, Erhardt PW.	J. Med. Chem.	2011	54	3506		Cell Proliferation	Antiproliferative activity against estrogen receptor-deficient human NCI-ADR-RES cells incubated with 0.06 nM of estradiol and 0.07 nM of testosterone after 48 hrs by sulforhodamine B assay in presence of fetal bovine serum and NuSerum	Human	GI50	1698.2	nM			
446-72-0	587	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Gakh AA, Anisimova NY, Kiselevsky MV, Sadovnikov SV, Stankov IN, Yudin MV, Rufanov KA, Krasavin MY, Sosnov AV.	Bioorg. Med. Chem. Lett.	2010	20	6149		Cell Proliferation	Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay	Human	IC50	1000	nM			
446-72-0	588	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Matsuda H, Shimoda H, Morikawa T, Yoshikawa M.	Bioorg. Med. Chem. Lett.	2001	11	1839		Cell Proliferation	Compound was tested for enhancement of proliferation of MCF-7 cell line at a concentration 10 uM	Human	INH	197.2	%			
446-72-0	589	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Matsuda H, Shimoda H, Morikawa T, Yoshikawa M.	Bioorg. Med. Chem. Lett.	2001	11	1839		Cell Proliferation	Compound was tested for enhancement of proliferation of MCF-7 cell line at a concentration 1 uM	Human	INH	171.5	%			
446-72-0	590	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O	Fang H, Tong W, Perkins R, Soto AM, Prechtl NV, Sheehan DM.	Environ Health Perspect.	2000	108	723		Cell Proliferation	E-Screen, Relative proliferative potency (RPP) in human breast cancer estrogen-sensitive MCF-7 cells	Human	logRPP	-1.85				
446-72-0	591	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O			2010			http://www.fda.gov/scienceresearch/bioinformaticstools/endocrinedisruptorknowledgebase/default.htm	In Vivo	Uterotrophic Assay	Rat	LogRP	-2.4				
446-72-0	592	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O			2010			http://www.fda.gov/scienceresearch/bioinformaticstools/endocrinedisruptorknowledgebase/default.htm	In Vivo	Uterotrophic Assay	Mouse	LogRP	-2.7				Sc
446-72-0	593	3	genistein	C15H10O5	270.24	2.22		Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O			2010			http://www.fda.gov/scienceresearch/bioinformaticstools/endocrinedisruptorknowledgebase/default.htm	In Vivo	Uterotrophic Assay	Mouse	LogRP	-2.96				oral
84449-90-1	594	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Congreve M, Chessari G, Tisi D, Woodhead AJ.	J. Med. Chem.	2008	51	3661		Binding	Activity against estrogen receptor alpha		EC50	22	nM	alpha		
84449-90-1	595	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Jain N, Xu J, Kanojia RM, Du F, Jian-Zhong G, Pacia E, Lai MT, Musto A, Allan G, Reuman M, Li X, Hahn D, Cousineau M, Peng S, Ritchie D, Russell R, Lundeen S, Sui Z.	J. Med. Chem.	2009	52	7544		Binding	Displacement of radiolabeled estrogen from estrogen receptor alpha by scintillation counting		IC50	1.8	nM	alpha		
84449-90-1	596	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Henke BR, Drewry DH, Jones SA, Stewart EL, Weaver SL, Wiethe RW.	Bioorg. Med. Chem. Lett.	2001	11	1939		Binding	Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.		logRBA	3		alpha		
84449-90-1	597	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	McKie JA, Bhagwat SS, Brady H, Doubleday M, Gayo L, Hickman M, Jalluri RK, Khammungkhune S, Kois A, Mortensen D, Richard N, Sapienza J, Shevlin G, Stein B, Sutherland M.	Bioorg. Med. Chem. Lett.	2004	14	3407		Binding	Binding affinity against estrogen receptor alpha relative to E2		logRBA	1.544		alpha		
84449-90-1	598	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Grese TA, Cho S, Finley DR, Godfrey AG, Jones CD, Lugar CW 3rd, Martin MJ, Matsumoto K, Pennington LD, Winter MA, Adrian MD, Cole HW, Magee DE, Phillips DL, Rowley ER, Short LL, Glasebrook AL, Bryant HU.	J. Med. Chem.	1997	40	146		Binding	In vitro relative binding affinity by competition with [3H]17-beta-estradiol for estrogen receptor in MCF-7 cell lysate		logRBA	1.531		alpha		
84449-90-1	599	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Grese TA, Pennington LD, Sluka JP, Adrian MD, Cole HW, Fuson TR, Magee DE, Phillips DL, Rowley ER, Shetler PK, Short LL, Venugopalan M, Yang NN, Sato M, Glasebrook AL, Bryant HU.	J. Med. Chem.	1998	41	1272		Binding	Relative binding affinity of Estrogen receptor measured by using [3H]17-beta-estradiol		logRBA	1.531		alpha		
84449-90-1	600	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4		Bioorg. Med. Chem. Lett.	1996	6	201		Binding	Binding affinity against estrogen receptor relative to [3H]estradiol		logRBA	1.531		alpha		
84449-90-1	601	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4		Bioorg. Med. Chem. Lett.	1997	7	887		Binding	Affinity against estrogen receptor in MCF-7 cell lysate by competitive displacement of [3H]estradiol		logRBA	1.531		alpha		
84449-90-1	602	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Smith RA, Chen J, Mader MM, Muegge I, Moehler U, Katti S, Marrero D, Stirtan WG, Weaver DR, Xiao H, Carley W.	Bioorg. Med. Chem. Lett.	2002	12	2875		Binding	Binding affinity for Estrogen receptor alpha (ER alpha) receptor		logRBA	1.456		alpha		
84449-90-1	603	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Christiansen LB, Wenckens M, Bury PS, Gissel B, Hansen BS, Thorpe SM, Jacobsen P, Kanstrup A, Jurgensen AS, Naerum L, Wassermann K.	Bioorg. Med. Chem. Lett.	2002	12	17		Binding	Displacement of [3H]17-beta-estradiol from Estrogen receptor of rabbit uterine tissue	Rabbit	logRBA	0.812		alpha		
84449-90-1	604	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Henke BR, Consler TG, Go N, Hale RL, Hohman DR, Jones SA, Lu AT, Moore LB, Moore JT, Orband-Miller LA, Robinett RG, Shearin J, Spearing PK, Stewart EL, Turnbull PS, Weaver SL, Williams SP, Wisely GB, Lambert MH.	J. Med. Chem.	2002	45	5492		Binding	Percent maximal inhibition of transcriptional activation stimulated by 1 nM 17 beta-estradiol in T47D cells expressing estrogen receptor alpha	Human	INH	113	%	alpha		
84449-90-1	605	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Qin Z, Kastrati I, Chandrasena RE, Liu H, Yao P, Petukhov PA, Bolton JL, Thatcher GR.	J. Med. Chem.	2007	50	2682		Binding	Displacement of [3H]estradiol from human recombinant ERalpha	Human	IC50	20.6	nM	alpha		
84449-90-1	606	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Miller CP, Collini MD, Tran BD, Harris HA, Kharode YP, Marzolf JT, Moran RA, Henderson RA, Bender RH, Unwalla RJ, Greenberger LM, Yardley JP, Abou-Gharbia MA, Lyttle CR, Komm BS.	J. Med. Chem.	2001	44	1654		Binding	In vitro inhibition of [3H]17-beta-estradiol binding to human estrogen receptor alpha	Human	IC50	4	nM	alpha		
84449-90-1	607	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Blizzard TA, Morgan JD 2nd, Mosley RT, Birzin ET, Frisch K, Rohrer SP, Hammond ML.	Bioorg. Med. Chem. Lett.	2003	13	479		Binding	Binding affinity for Human Estrogen receptor-alpha	Human	IC50	1.8	nM	alpha		
84449-90-1	608	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Chen HY, Kim S, Wu JY, Birzin ET, Chan W, Yang YT, Dahllund J, DiNinno F, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2004	14	2551		Binding	Binding affinity towards human estrogen receptor alpha	Human	IC50	1.8	nM	alpha		
84449-90-1	609	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Blizzard TA, Morgan JD 2nd, Chan W, Birzin ET, Pai LY, Hayes EC, DaSilva CA, Mosley RT, Yang YT, Rohrer SP, Dininno F, Hammond ML.	Bioorg. Med. Chem. Lett.	2005	15	5124		Binding	Inhibition of binding to recombinant human ERalpha by scintillation proximity assay	Human	IC50	1.8	nM	alpha		
84449-90-1	610	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Jain N, Kanojia RM, Xu J, Jian-Zhong G, Pacia E, Lai MT, Du F, Musto A, Allan G, Hahn D, Lundeen S, Sui Z.	J. Med. Chem.	2006	49	3056		Binding	Binding affinity to ERalpha	Human	IC50	1.8	nM	alpha		
84449-90-1	611	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Ji Q, Gao J, Wang J, Yang C, Hui X, Yan X, Wu X, Xie Y, Wang MW.	Bioorg. Med. Chem. Lett.	2005	15	2891		Binding	Inhibitino of [3H]17-beta-estradiol binding to human estrogen receptor alpha	Human	IC50	0.89	nM	alpha		
84449-90-1	612	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Yang C, Xu G, Li J, Wu X, Liu B, Yan X, Wang M, Xie Y.	Bioorg. Med. Chem. Lett.	2005	15	1505		Binding	Inhibition of estrogen receptor alpha	Human	IC50	0.73	nM	alpha		
84449-90-1	613	4	2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol	C28H27NO4S	473.58	5.34		Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	Henke BR, Consler TG, Go N, Hale RL, Hohman DR, Jones SA, Lu AT, Moore LB, Moore JT, Orband-Miller LA, Robinett RG, Shearin J, Spearing PK, Stewart EL, Turnbull PS, Weaver SL, Williams SP, Wisely GB, Lambert MH.	J. Med. Chem.	2002	45	5492		Binding	In vitro inhibition of transcriptional activation induced by 1 nM 17-beta estradiol in T47D cells expressing estrogen receptor alpha	Human	IC50	0.7	nM	alpha		
